"x","y","species_set","species","model_predictors","plot_predictor"
14.2213930348259,0.235074626865672,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.17959282598158,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.209178228388474,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.149967040210943,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
28,0.124847498983327,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.15587044534413,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
31,0.113421550094518,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
32,0.147277595953585,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.207264957264957,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
35,0.162512462612164,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
37,0.111219195849546,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.122349823321555,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0752562225475842,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.109726548978885,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0758241758241758,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
52,0.0634920634920635,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.1062471500228,"Top Ten","Fraxinus pennsylvanica","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.082089552238806,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.08167716917111,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0693703308431163,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0527356624917601,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
28,0.013826758845059,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0781039136302294,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
31,0.0466288594833018,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
32,0.0672418922939601,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0878739316239316,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
35,0.0461947490860751,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
37,0.0745784695201038,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.102031802120141,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.216691068814056,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0645552094150225,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.0598901098901099,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
52,0.04,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.172594619243046,"Top Ten","Acer saccharinum","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.082089552238806,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0710130877363064,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.0757737459978655,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0883322346736981,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
28,0.0793005286701911,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0752361673414305,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
31,0.0623818525519849,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
32,0.0731925022314787,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.0697115384615385,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
35,0.0628115653040877,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
37,0.130674448767834,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.0666961130742049,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.0609077598828697,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.0943232952578747,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.089010989010989,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
52,0.102857142857143,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.124259005927953,"Top Ten","Acer platanoides","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.190298507462687,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.206980126030053,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.254802561366062,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.221819380355966,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
28,0.345668971126474,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.25219298245614,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
31,0.299306868304978,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
32,0.250520678369533,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
33.0088141025641,0.25133547008547,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
35,0.364240611498837,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
37,0.374837872892348,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
38.0212014134276,0.431978798586572,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
40.6316251830161,0.293411420204978,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
42.0716510903427,0.379543094496366,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
46.9052197802198,0.429945054945055,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
52,0.537777777777778,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
53.5718194254446,0.338349293205654,"Top Ten","Other","BLDG_AGE","BLDG_AGE"
14.2213930348259,0.0621890547263682,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
20.4730974309258,0.0605913717886573,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
22.2652081109925,0.041889007470651,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
25.5978905735003,0.0774555042847726,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
28,0.098820658804392,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
29.3915317139001,0.0585357624831309,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
31,0.0642722117202268,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
32,0.0565307944064267,"Top Ten","Fraxinus americana","BLDG_AGE","BLDG_AGE"
